date,city,month,day_of_week,season,disruption_type,severity,duration_hours,rainfall_mm,temperature_c,aqi,wind_speed_ms,riders_affected,total_payout_inr,actual_value,threshold,has_disruption
2025-04-10,Bangalore,4,3,summer,SocialDisruption,Severe,2.0,23.0,26.8,38.0,2.8,13,16614,11.06,4.0,1
2023-04-27,Bangalore,4,3,summer,Flooding,Severe,9.7,12.7,29.4,70.0,5.9,11,14652,12.73,6.0,1
2025-01-29,Ahmedabad,1,2,winter,HeavyRain,Moderate,9.2,69.2,22.3,114.0,4.3,14,14742,69.16,64.0,1
2023-11-22,Bangalore,11,2,winter,HeavyRain,Extreme,7.5,132.1,16.8,77.0,5.5,12,16176,132.06,64.0,1
2023-11-02,Delhi,11,3,winter,SevereAQI,Severe,2.3,8.8,10.0,498.0,5.6,10,7140,498.35,400.0,1
2025-11-18,Delhi,11,1,winter,SocialDisruption,Severe,7.9,1.0,18.4,431.0,5.4,13,11479,12.63,4.0,1
2023-10-31,Chennai,10,1,summer,SevereAQI,Moderate,7.0,33.0,39.0,427.0,5.4,11,16071,427.34,400.0,1
2023-12-12,Ahmedabad,12,1,winter,HeavyRain,Moderate,2.0,66.8,20.3,181.0,4.2,9,6957,66.76,64.0,1
2025-04-12,Chennai,4,5,summer,ExtremeHeat,Severe,2.8,50.1,46.9,132.0,2.9,9,9594,46.87,48.0,1
2025-12-31,Lucknow,12,2,winter,SocialDisruption,Severe,8.5,16.0,10.0,117.0,2.4,8,12992,10.63,4.0,1
2025-06-30,Delhi,6,0,monsoon,Flooding,Moderate,7.1,6.8,38.2,94.0,7.0,16,26592,6.78,6.0,1
2025-04-04,Jaipur,4,4,summer,ExtremeHeat,Moderate,7.2,3.4,46.3,170.0,4.0,13,10387,46.28,48.0,1
2024-11-30,Delhi,11,5,winter,SevereAQI,Extreme,6.4,19.8,14.6,545.0,0.6,10,13730,545.15,400.0,1
2024-06-26,Kolkata,6,2,monsoon,SocialDisruption,Moderate,6.1,435.8,29.9,77.0,2.9,13,11830,5.54,4.0,1
2024-10-09,Bangalore,10,2,summer,SocialDisruption,Severe,5.9,40.9,26.3,56.0,4.7,10,13120,10.38,4.0,1
2024-11-23,Jaipur,11,5,winter,SevereAQI,Moderate,7.8,14.0,10.1,405.0,1.8,17,12257,404.93,400.0,1
2024-11-08,Kolkata,11,4,winter,ExtremeHeat,Severe,12.2,15.5,48.4,129.0,7.2,20,12260,48.4,48.0,1
2023-03-08,Mumbai,3,2,summer,SocialDisruption,Severe,5.1,14.6,28.7,93.0,7.3,12,17988,10.24,4.0,1
