claim_amount,rider_experience_months,claims_last_30_days,claims_last_7_days,distance_from_zone_km,time_since_last_claim_hours,trigger_weather_match,other_riders_same_zone_claimed,claim_hour,day_of_week,policy_age_days,is_fraudulent
17600,6,2,1,5.529031053192571,224.54305470853495,1,1,19,0,30,0
12800,11,0,1,1.6164589053949578,138.64900398634148,0,0,19,2,54,0
15000,48,0,1,1.1271267388936088,122.48222531407328,1,1,12,4,11,0
7700,3,0,2,1.099235619813459,86.59218201986097,1,0,18,3,46,0
10900,8,1,0,0.3011358668008168,248.8901000457311,1,0,13,5,7,0
12900,26,0,0,5.743091313363764,679.1955113994497,1,1,11,0,40,0
10300,7,1,0,2.867508493442987,186.714705949516,1,1,18,4,15,0
6900,12,0,2,1.3181388752380916,26.566669449271263,1,1,12,0,65,0
4200,5,1,0,2.5802040901149486,139.82219405126773,1,1,8,1,164,0
4000,11,1,0,2.7618294277778936,523.9122502394584,1,1,19,2,10,0
17800,25,0,0,6.044310910417513,386.9055177030102,1,0,12,3,43,0
17300,12,1,0,2.520882382834401,167.63891950094114,1,1,8,4,116,0
15400,10,2,1,2.2778575303014836,321.6075917520558,1,0,12,6,26,0
11900,36,3,0,3.546304464457679,110.92652729140389,1,0,16,3,72,0
6800,11,1,0,2.7697302422392363,410.8945973672754,1,1,10,5,168,0
17000,7,0,0,2.384990117714861,253.5760237082374,1,1,20,4,56,0
12800,21,2,1,4.0525467981155145,150.05069834657237,1,0,9,2,313,0
9600,60,1,0,1.641695439750547,237.09784239428905,1,1,11,4,68,0
13500,16,1,0,2.747840364710001,142.9002816787927,1,1,21,5,18,0
4200,4,0,1,1.41707765036048,316.6583650035274,1,1,13,0,10,0
14900,10,1,1,0.14370110830316762,171.5824946738197,1,0,15,4,83,0
13800,4,2,1,1.8953686175811169,720.0,1,1,21,1,106,0
4800,4,1,0,0.6804132672964824,269.2295526800328,1,1,9,1,7,0
8900,10,0,2,0.47632448501528957,74.36129661989018,1,1,10,1,13,0
16800,3,0,1,13.87,16.831388237949575,0,0,5,6,5,1
4300,21,0,1,6.351917351559722,12.180847921977083,1,1,13,3,12,0
17200,11,1,0,0.43993586885176234,16.8370454689762,1,1,9,5,40,0
6600,12,0,0,1.1636144522865994,232.1682790526022,1,0,20,0,59,0
16100,11,6,1,14.97,40.29401082854205,0,0,14,5,3,1
14500,11,1,1,0.11444180725223041,54.099764886093716,1,1,12,2,49,0
7200,4,0,0,2.0587156088384657,472.51131105148266,1,1,19,1,14,0
13900,8,0,1,0.3605722292756808,214.6764047099793,0,1,18,4,39,0
12500,13,12,3,5.14,35.2624055819512,0,0,4,6,15,1
10000,10,6,2,18.44,35.45384025999672,0,0,21,4,2,1
17800,39,0,0,0.5755692940830105,92.81191040043284,1,1,16,3,37,0
6900,5,0,0,1.5946546200089107,67.35542733751363,1,1,16,3,153,0
9600,19,0,2,0.27514734136739893,33.368063965139655,1,1,17,5,36,0
12000,9,2,1,0.7778620272906986,117.36555086816351,1,1,10,2,144,0
16700,12,3,2,14.94,29.447382577312027,0,0,11,3,11,1
