city,zone_risk_level,platform,avg_weekly_earnings,avg_daily_hours,preferred_shift,vehicle_type,experience_months,historical_claims_count,historical_disruption_freq,season,aqi_avg_30d,rainfall_avg_30d,temperature_avg_30d,risk_score,weekly_premium
Kolkata,1.048,Zomato,3600.0,8.7,Mixed,Motorcycle,11,1,1.66,monsoon,83.9,367.6,31.3,71.5,75.3
Bangalore,0.917,Swiggy,3300.0,6.8,Night,Motorcycle,20,0,1.41,summer,90.8,37.8,27.5,25.9,31.7
Pune,1.02,Both,2800.0,7.4,Afternoon,Motorcycle,6,0,1.47,monsoon,80.1,229.9,25.1,47.4,53.4
Hyderabad,1.162,Zomato,3700.0,8.7,Mixed,Scooter,4,0,3.08,summer,133.2,13.4,36.6,58.4,64.4
Mumbai,1.052,Zomato,3400.0,11.8,Mixed,Scooter,19,0,3.16,winter,155.3,0.0,19.8,70.8,73.2
Jaipur,1.005,Zomato,2400.0,6.0,Morning,Scooter,12,1,1.66,monsoon,75.6,69.3,32.9,71.3,72.0
Kolkata,1.034,Swiggy,4400.0,9.1,Morning,Scooter,14,1,1.51,winter,157.1,0.9,23.9,70.8,69.2
Kolkata,1.149,Both,2800.0,6.5,Afternoon,Motorcycle,27,0,1.82,monsoon,70.9,386.1,27.2,68.7,71.7
Mumbai,1.021,Swiggy,2400.0,7.9,Night,Motorcycle,23,2,0.54,summer,80.0,12.9,30.7,67.5,69.9
Bangalore,0.938,Swiggy,3000.0,10.9,Evening,Scooter,4,1,3.03,monsoon,59.5,144.0,23.4,38.6,44.1
Delhi,0.939,Both,2800.0,7.3,Evening,Scooter,2,0,2.66,winter,331.9,26.8,14.9,91.6,82.9
Ahmedabad,0.935,Zomato,3300.0,8.5,Evening,Scooter,3,0,1.01,monsoon,60.8,129.5,27.6,49.8,49.4
Chennai,0.932,Both,2500.0,9.3,Evening,Motorcycle,29,1,1.03,winter,123.8,28.2,23.0,58.1,51.4
Pune,1.095,Zomato,3900.0,10.4,Night,Scooter,3,2,3.33,winter,127.5,11.7,20.5,58.6,68.9
Bangalore,1.2,Zomato,4600.0,7.9,Morning,Bicycle,6,1,2.68,monsoon,53.6,161.9,21.0,42.9,64.7
Delhi,0.951,Both,3600.0,11.5,Evening,Scooter,9,0,3.49,summer,159.2,16.5,46.2,92.4,78.3
Chennai,0.892,Swiggy,2300.0,8.1,Afternoon,Motorcycle,16,1,1.4,monsoon,78.2,21.0,31.6,57.8,56.3
Mumbai,0.848,Swiggy,2800.0,10.0,Night,Scooter,5,2,3.46,monsoon,56.2,438.8,30.2,76.7,74.3
Pune,1.2,Zomato,3700.0,8.6,Morning,Scooter,31,2,1.27,winter,150.9,12.7,17.5,55.6,61.7
Chennai,1.116,Swiggy,2000.0,10.5,Morning,Motorcycle,9,1,2.16,monsoon,66.4,100.6,33.0,70.4,77.0
Kolkata,0.918,Both,2500.0,13.1,Evening,Motorcycle,44,0,0.64,winter,176.4,13.1,13.6,60.8,52.7
Delhi,1.017,Zomato,2200.0,8.4,Evening,Scooter,11,1,1.63,summer,140.2,31.8,47.4,91.5,90.0
Jaipur,1.168,Zomato,3600.0,9.0,Evening,Motorcycle,19,2,2.19,monsoon,86.4,180.2,33.1,76.3,78.9
Ahmedabad,0.992,Zomato,5200.0,8.1,Mixed,Scooter,10,1,1.71,winter,132.4,4.1,28.2,51.8,52.3
Kolkata,1.104,Swiggy,2500.0,7.8,Night,Motorcycle,4,2,2.55,monsoon,74.4,520.8,24.8,82.7,90.0
Mumbai,0.981,Both,4200.0,7.6,Afternoon,Scooter,20,1,1.39,monsoon,74.3,530.4,28.4,74.1,77.8
Bangalore,0.965,Zomato,3000.0,9.0,Night,Motorcycle,4,0,2.04,monsoon,56.1,60.7,23.6,30.8,42.3
Mumbai,0.8,Both,2400.0,7.4,Evening,Motorcycle,51,1,1.77,monsoon,67.4,697.3,28.0,66.5,56.9
Mumbai,0.951,Both,4800.0,7.5,Afternoon,Scooter,2,0,1.76,winter,123.7,5.5,27.7,66.4,69.6
Hyderabad,0.936,Swiggy,5200.0,6.0,Morning,Scooter,48,3,2.68,summer,127.2,12.7,39.5,55.2,52.6
Hyderabad,1.062,Both,3800.0,11.8,Morning,Motorcycle,2,1,1.48,summer,120.7,27.7,35.9,64.5,62.6
Jaipur,1.03,Both,3800.0,12.3,Afternoon,Bicycle,15,1,1.89,monsoon,80.8,103.4,27.6,82.2,77.2
Delhi,1.024,Both,3500.0,10.3,Mixed,Motorcycle,11,0,1.65,summer,199.8,25.1,42.0,88.4,82.2
Delhi,1.114,Swiggy,3400.0,7.3,Evening,Scooter,60,2,3.32,winter,361.2,0.7,12.9,86.6,90.0
Bangalore,0.8,Zomato,3800.0,6.5,Evening,Bicycle,28,0,2.0,winter,75.1,22.0,21.5,30.7,32.0
Mumbai,0.994,Both,4000.0,6.0,Afternoon,Motorcycle,3,0,2.01,summer,100.9,27.1,33.3,68.8,67.9
Mumbai,0.86,Swiggy,4800.0,10.3,Afternoon,Scooter,9,1,1.8,winter,155.7,7.6,19.2,69.8,66.6
Bangalore,0.85,Zomato,3100.0,11.5,Night,Motorcycle,24,0,2.36,monsoon,54.7,183.6,28.9,28.8,32.4
